,airport_code,cy17,cy16,perc_change
375,MWA,11029,10044,9.81
376,AKW,10923,10628,2.78
377,JMS,10917,11123,-1.85
378,YAK,10880,10756,1.15
379,SHR,10876,9211,18.08
380,LEB,10381,10245,1.33
381,FHR,10018,12831,-21.92
382,GAL,9664,10532,-8.24
383,HYS,9460,8265,14.46
384,VRB,9103,4581,98.71
385,TBN,9078,8108,11.96
386,GST,9061,11438,-20.78
387,PVC,8900,10074,-11.65
388,WYS,8786,8525,3.06
389,BHB,8718,10094,-13.63
390,SDY,8429,8065,4.51
391,DEC,8324,8453,-1.53
392,MCE,8318,9426,-11.75
393,RIW,8277,4228,95.77
394,ENM,8004,8072,-0.84
395,CEZ,7890,4564,72.87
396,HNS,7864,8936,-12.0
397,DVL,7767,8209,-5.38
398,BRL,7757,7086,9.47
399,UIN,7709,7847,-1.76
400,MCW,7500,7734,-3.03
401,SGY,7380,8714,-15.31
402,CDB,7338,7403,-0.88
403,FOD,7140,7271,-1.8
404,BED,7132,15105,-52.78
405,ORS,7124,7826,-8.97
406,HNH,6820,8809,-22.58
407,CEC,6802,8667,-21.52
408,FYU,6799,6552,3.77
409,VEL,6615,4007,65.09
410,SHD,6605,5442,21.37
411,ALS,6494,3863,68.11
412,MSL,6489,5295,22.55
413,CNY,6473,7837,-17.4
414,CXF,6345,7203,-11.91
415,CGI,6321,5532,14.26
416,MAZ,6255,5344,17.05
417,MMU,6149,7239,-15.06
418,IPL,6136,4136,48.36
419,AQH,6101,7012,-12.99
420,EWB,5998,7022,-14.58
421,CRQ,5914,180,3185.56
422,PRC,5872,3451,70.15
423,TVF,5735,3524,62.74
424,PDT,5701,2582,120.8
425,MGW,5697,7851,-27.44
426,SVC,5683,5442,4.43
427,GLH,5646,4986,13.24
428,LUP,5598,6119,-8.51
429,CDR,5532,4474,23.65
430,LMT,5529,2827,95.58
431,ILI,5527,5835,-5.28
432,LWB,5495,4965,10.67
433,AUG,5435,5128,5.99
434,IWD,5348,5069,5.5
435,WLK,5260,5011,4.97
436,VAK,5243,5654,-7.27
437,IIK,5176,5747,-9.94
438,IRK,5150,4733,8.81
439,CVN,5053,4854,4.1
440,RUT,5024,5146,-2.37
441,HPB,5022,5635,-10.88
442,SLK,4977,4732,5.18
443,PHO,4964,5338,-7.01
444,SOW,4917,4139,18.8
445,FOE,4899,6051,-19.04
446,MSS,4852,5311,-8.64
447,JBR,4781,4593,4.09
448,OOK,4777,5316,-10.14
449,WTK,4716,4681,0.75
450,EAR,4602,4180,10.1
451,LNS,4564,4230,7.9
452,BVK,4456,4198,6.15
453,D76,4444,4004,10.99
454,MUE,4407,4445,-0.85
455,HRO,4371,1178,271.05
456,SOV,4206,4133,1.77
457,SVA,4188,4197,-0.21
458,PKB,4155,4170,-0.36
459,SCM,4093,4513,-9.31
460,CFK,4027,4456,-9.63
461,MKL,4007,3661,9.45
462,SDP,3996,4146,-3.62
463,CNM,3972,3057,29.93
464,LBF,3911,4075,-4.02
465,BFD,3897,2623,48.57
466,DUJ,3888,2934,32.52
467,AKP,3856,3522,9.48
468,PUB,3833,2377,61.25
469,AOO,3806,1865,104.08
470,OLF,3804,3439,10.61
471,AWI,3756,3932,-4.48
472,BFF,3709,4262,-12.98
473,A61,3614,3875,-6.74
474,2A9,3612,3531,2.29
475,JST,3594,4193,-14.29
476,DUY,3589,3978,-9.78
477,GGW,3517,3251,8.18
478,GAM,3493,3860,-9.51
479,IAN,3485,3127,11.45
480,KVL,3454,3421,0.96
481,SHH,3360,3445,-2.47
482,0AK,3353,4127,-18.75
483,GGV,3341,3870,-13.67
484,MOU,3263,4159,-21.54
485,BTI,3212,3136,2.42
486,PDK,3210,472,580.08
487,16A,3096,3628,-14.66
488,KAE,3087,3227,-4.34
489,Z09,3049,4190,-27.23
490,HNM,2967,2211,34.19
491,KWT,2948,3706,-20.45
