,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
8458,2018010446457,3-Dec-17,11/19/2017 0:00,LAX,Los Angeles International Airport,British Airways,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
8460,2017081642248,3-Jul-17,6/1/2017 0:00,LAX,Los Angeles International Airport,Cathay Pacific - CX,Passenger Property Loss,Checked Baggage,-,-,In Review
8462,2017081642256,3-Jul-17,6/15/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
8464,2017050939314,3-Mar-17,2/14/2017 0:00,LAX,Los Angeles International Airport,Frontier Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
8466,2017042739013,3-Mar-17,1/26/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,$680.14,Settle
8468,2017061440679,3-May-17,4/8/2017 0:00,LAX,Los Angeles International Airport,-,Passenger Property Loss,Checked Baggage,Clothing,-,*Insufficient
8470,2017112845502,3-Nov-17,10/23/2017 0:00,LAX,Los Angeles International Airport,Virgin Atlantic,Property Damage,Checked Baggage,Household Items,-,In Review
8472,2017112945607,3-Nov-17,8/13/2017 15:30,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
8474,2017120545731,3-Nov-17,10/12/2017 11:45,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
8476,2017102344609,3-Oct-17,9/26/2017 22:30,LAX,Los Angeles International Airport,-,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
8478,2017102344616,3-Oct-17,9/28/2017 15:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8480,2017102644738,3-Oct-17,10/2/2017 0:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checkpoint,Clothing,-,In Review
8482,2017103144875,3-Oct-17,9/26/2017 0:00,LAX,Los Angeles International Airport,Lufthansa,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8484,2017103144856,3-Oct-17,9/10/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Accessories,-,*Insufficient
8486,2017080442080,4-Aug-17,6/27/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
8488,2017091443109,4-Aug-17,7/7/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Automobile Parts & Accessories,-,In Review
8490,2017121245918,4-Dec-17,10/25/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,-,In Review
8492,2017121245968,4-Dec-17,11/8/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,-,-,In Review
8494,2017122246266,4-Dec-17,11/27/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,-,-,In Review
8496,2017122846354,4-Dec-17,11/25/2017 17:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
8498,2017121245889,4-Nov-17,10/30/2017 12:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Household Items,-,In Review
8500,2017110845060,4-Oct-17,9/1/2017 0:00,LAX,Los Angeles International Airport,Qantas Airlines,Passenger Property Loss,Checkpoint,Cameras; Cameras,-,In Review
8502,2017102644785,4-Oct-17,10/3/2017 7:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
8504,2017060640301,5-Apr-17,3/29/2017 4:40,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing; Computer & Accessories; Currency,$0.00,Deny
8506,2017060640299,5-Apr-17,3/23/2017 16:10,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checkpoint,Personal Accessories,-,*Insufficient
8508,2017122246277,5-Dec-17,12/1/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,*Insufficient
8510,2018010946625,5-Dec-17,10/23/2017 0:00,LAX,Los Angeles International Airport,-,Passenger Property Loss,Checked Baggage,Travel Accessories,-,*Insufficient
8512,2018010546528,5-Jan-17,12/19/2017 15:40,LAX,Los Angeles International Airport,Aero Flot,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
8514,2017082442457,5-Jul-17,6/23/2017 9:58,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
8516,2017082442482,5-Jul-17,4/24/2017 0:00,LAX,Los Angeles International Airport,China Eastern Airlines,Property Damage,Checked Baggage,Travel Accessories,-,In Review
8518,2017083142579,5-Jul-17,6/2/2017 0:00,LAX,Los Angeles International Airport,Aero Mexico,Passenger Property Loss,Checkpoint,Currency,$710.21,Approve in Full
8520,2017070741306,5-Jun-17,5/22/2017 14:00,LAX,Los Angeles International Airport,Lan Airlines,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,In Review
8522,2017072541819,5-Jun-17,5/26/2017 17:25,LAX,Los Angeles International Airport,-,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,-,In Review
8524,2017072541834,5-Jun-17,5/15/2017 19:30,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8526,2017070741282,5-Jun-17,4/22/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,$194.29,Approve in Full
8528,2017070741253,5-Jun-17,5/30/2017 11:30,LAX,Los Angeles International Airport,China Airlines,Property Damage,Checked Baggage,Personal Electronics,-,*Insufficient
8530,2017072541833,5-Jun-17,6/2/2017 6:30,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
8532,2017062140826,5-May-17,4/5/2017 0:00,LAX,Los Angeles International Airport,Alaska Airlines,Property Damage,Checked Baggage,Other,$0.00,Deny
8534,2017103144859,5-Oct-17,9/24/2017 16:33,LAX,Los Angeles International Airport,Alaska Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Home Decor,-,In Review
8536,2017103144878,5-Oct-17,6/26/2017 16:00,LAX,Los Angeles International Airport,Air France,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8538,2017100343913,5-Sep-17,8/27/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Household Items,-,In Review
8540,2017100544070,5-Sep-17,8/29/2017 0:00,LAX,Los Angeles International Airport,Air Canada,Passenger Property Loss,Checked Baggage,Household Items,-,Closed: Canceled
8542,2017100343910,5-Sep-17,7/23/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,-,*Insufficient
8544,2017122746300,6-Dec-17,11/5/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
8546,2017122746303,6-Dec-17,11/30/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8548,2017122946378,6-Dec-17,10/17/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
8550,2018010446438,6-Dec-17,10/17/2017 0:00,LAX,Los Angeles International Airport,-,Property Damage,Checkpoint,-,-,In Review
8552,2018010446452,6-Dec-17,11/22/2017 0:00,LAX,Los Angeles International Airport,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
8554,2018010546542,6-Dec-17,12/2/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8556,2018010946695,6-Dec-17,11/13/2017 5:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,-,-,In Review
8558,2018010546544,6-Dec-17,12/1/2017 0:00,LAX,Los Angeles International Airport,Jet Blue,Property Damage,Checked Baggage,Other,-,*Insufficient
8560,2017032938268,6-Feb-17,1/31/2017 7:20,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,-,In Review
8562,2017033038284,6-Feb-17,1/31/2017 15:20,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Medical/Science,-,In Review
8564,2017040438346,6-Feb-17,2/1/2017 0:00,LAX,Los Angeles International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
8566,2017082442474,6-Jul-17,6/30/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
8568,2017060640300,6-Jun-17,3/19/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8570,2017042138800,6-Mar-17,3/4/2017 12:45,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,-,In Review
8572,2017050939298,6-Mar-17,3/1/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
8574,2017050139156,6-Mar-17,2/11/2017 11:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$89.00,Approve in Full
8576,2017102644690,6-Oct-17,9/17/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Medical/Science,-,In Review
8578,2017101744478,6-Sep-17,8/29/2017 0:00,LAX,Los Angeles International Airport,British Airways,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8580,2017082942520,7-Aug-17,7/13/2017 5:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,Clothing,-,In Review
8582,2017092043210,7-Aug-17,7/26/2017 7:35,LAX,Los Angeles International Airport,Hawaiian Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8584,2017092043325,7-Aug-17,7/7/2017 0:00,LAX,Los Angeles International Airport,Qantas Airlines,Property Damage,Checked Baggage,-,-,In Review
8586,2017092043232,7-Aug-17,3/18/2017 0:00,LAX,Los Angeles International Airport,Qatar airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
8588,2017092143451,7-Aug-17,7/9/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Personal Accessories,-,In Review
8590,2017092143468,7-Aug-17,6/24/2017 0:00,LAX,Los Angeles International Airport,Allegiant Air,Property Damage,Checked Baggage,Other,-,In Review
8592,2018010246389,7-Dec-17,11/27/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Complaint,Checkpoint,Other,-,In Review
8594,2017071041319,7-Jul-17,6/26/2017 0:00,LAX,Los Angeles International Airport,Korean Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
8596,2017071041320,7-Jul-17,7/1/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,-,-,In Review
8598,2017082442421,7-Jul-17,4/17/2017 11:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8600,2017071041313,7-Jun-17,5/31/2017 0:00,LAX,Los Angeles International Airport,Emirates,Property Damage,Checkpoint,Other,-,In Review
8602,2017062941083,7-Jun-17,5/31/2017 19:48,LAX,Los Angeles International Airport,Philippine Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
8604,2017071441585,7-Jun-17,5/30/2017 0:00,LAX,Los Angeles International Airport,Alaska Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
8606,2017071841642,7-Jun-17,5/23/2017 15:00,LAX,Los Angeles International Airport,Virgin America,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
8608,2017042538897,7-Mar-17,2/18/2017 21:00,LAX,Los Angeles International Airport,Frontier Airlines,Property Damage,Checked Baggage,Musical Instruments & Accessories,-,In Review
8610,2017042638946,7-Mar-17,1/21/2017 15:00,LAX,Los Angeles International Airport,-,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
8612,2017051839668,7-Mar-17,2/14/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
8614,2017050339217,7-Mar-17,2/4/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing,$91.62,Approve in Full
8616,2017050439227,7-Mar-17,2/23/2017 16:00,LAX,Los Angeles International Airport,Allegiant Air,Passenger Property Loss,Checkpoint,Automobile Parts & Accessories; Personal Documents,$310.00,Approve in Full
8618,2017122046152,7-Nov-17,10/7/2017 6:20,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8620,2017122046174,7-Nov-17,10/2/2017 0:00,LAX,Los Angeles International Airport,Philippine Airlines,Property Damage,Checkpoint,Jewelry & Watches,-,In Review
8622,2017121245865,7-Nov-17,11/6/2017 15:00,LAX,Los Angeles International Airport,Qatar airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,*Insufficient
8624,2017121245899,7-Nov-17,10/20/2017 17:00,LAX,Los Angeles International Airport,-,Property Damage,Checked Baggage,Travel Accessories,-,*Insufficient
8626,2017100443986,7-Sep-17,8/17/2017 10:00,LAX,Los Angeles International Airport,Spirit Airlines,Property Damage,Checked Baggage,Medical/Science,-,In Review
8628,2017100443949,7-Sep-17,8/26/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
8630,2017100443983,7-Sep-17,7/25/2017 11:00,LAX,Los Angeles International Airport,EVA airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
8632,2017100444000,7-Sep-17,8/12/2017 0:00,LAX,Los Angeles International Airport,Air Canada,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8634,2017092043234,8-Aug-17,7/17/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Audio/Video,-,In Review
8636,2018010946650,8-Dec-17,10/28/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,-,In Review
8638,2018011646821,8-Dec-17,11/7/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,*Insufficient
8640,2017041338538,8-Feb-17,2/4/2017 0:00,LAX,Los Angeles International Airport,Southeast Airlines,Property Damage,Checkpoint,Personal Accessories,-,In Review
8642,2017071141395,8-Jun-17,4/23/2017 0:00,LAX,Los Angeles International Airport,China Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
8644,2017051739633,8-May-17,4/24/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
8646,2017053040020,8-May-17,3/22/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,-,-,In Review
8648,2017053040035,8-May-17,5/5/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Cameras,-,In Review
8650,2017051939765,8-May-17,4/8/2017 16:45,LAX,Los Angeles International Airport,Emirates,Passenger Property Loss,Checked Baggage,Household Items,$32.38,Approve in Full
8652,2017081442184,8-Sep-17,5/30/2017 8:15,LAX,Los Angeles International Airport,Alaska Airlines,Property Damage/Personal Injury,Checkpoint,Personal Electronics,-,In Review
8654,2017101244278,8-Sep-17,8/26/2017 0:00,LAX,Los Angeles International Airport,-,Property Damage,Checkpoint,Personal Electronics,-,In Review
8656,2017101044154,8-Sep-17,6/3/2017 0:00,LAX,Los Angeles International Airport,Air France,Passenger Property Loss,Checkpoint,Computer & Accessories,-,In Review
8658,2017101244281,8-Sep-17,8/27/2017 0:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
8660,2017090742763,9-Aug-17,7/28/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8662,2017092043323,9-Aug-17,7/14/2017 12:40,LAX,Los Angeles International Airport,Aero Mexico,Passenger Property Loss,Checked Baggage,Household Items,-,In Review
8664,2017020937400,9-Feb-17,2/8/2017 0:00,LAX,Los Angeles International Airport,Air Europa,Passenger Property Loss,Checked Baggage,Travel Accessories,-,*Insufficient
8666,2018010946583,9-Jan-17,11/28/2017 0:00,LAX,Los Angeles International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
8668,2018010946619,9-Jan-17,11/16/2017 0:00,LAX,Los Angeles International Airport,Aero Mexico,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
8670,2017071341498,9-Jun-17,5/28/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Clothing,-,In Review
8672,2017071741593,9-Jun-17,3/23/2017 0:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
8674,2017062140834,9-May-17,4/25/2017 8:45,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
8676,2017062140873,9-May-17,1/14/2017 17:35,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
8678,2017110945076,9-Nov-17,10/16/2017 0:00,LAX,Los Angeles International Airport,Jet Blue,Passenger Property Loss,Other,Baggage/Cases/Purses,-,In Review
8680,2017112545410,9-Nov-17,10/15/2017 0:00,LAX,Los Angeles International Airport,Spirit Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8682,2017112545420,9-Nov-17,9/13/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Audio/Video,-,In Review
8684,2017112545442,9-Nov-17,10/3/2017 10:33,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checked Baggage,-,-,*Insufficient
8686,2017111645221,9-Oct-17,9/3/2017 13:18,LAX,Los Angeles International Airport,Copa Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
8688,2017091943202,10-Aug-17,8/7/2017 0:00,LAX,Los Angeles International Airport,Korean Airlines,Property Damage,Checked Baggage,Other,-,In Review
8690,2017041338515,10-Feb-17,2/6/2017 7:30,LAX,Los Angeles International Airport,Spirit Airlines,Personal Injury,Checkpoint,Other,-,In Review
8692,2017022337682,10-Jan-17,1/10/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Computer & Accessories,-,*Insufficient
8694,2017081842338,10-Jul-17,6/16/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
8696,2017082442475,10-Jul-17,5/20/2017 6:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8698,2017063041160,10-Mar-17,2/7/2017 0:00,LAX,Los Angeles International Airport,-,Property Damage,Motor Vehicle,-,-,In Review
8700,2017053140072,10-May-17,5/9/2017 0:00,LAX,Los Angeles International Airport,Saudi Arabian Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
8702,2017113045682,10-Nov-17,11/9/2017 10:40,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,-,-,In Review
8704,2017113045673,10-Nov-17,10/30/2017 0:00,LAX,Los Angeles International Airport,British Airways,Property Damage,Checked Baggage,-,-,*Insufficient
8706,2017101044149,10-Oct-17,7/14/2017 22:00,LAX,Los Angeles International Airport,Polish Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Food & Drink; Home Decor; Household Items,-,In Review
8708,2017102644739,10-Oct-17,10/8/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checkpoint,-,-,In Review
8710,2017102644780,10-Oct-17,10/5/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Other,-,In Review
8712,2017103144876,10-Oct-17,8/20/2017 0:00,LAX,Los Angeles International Airport,V Australia,Passenger Property Loss,Checked Baggage,-,-,In Review
8714,2017103144898,10-Oct-17,9/24/2017 0:00,LAX,Los Angeles International Airport,Ethopian Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
8716,2017103144928,10-Oct-17,10/8/2017 0:00,LAX,Los Angeles International Airport,Spirit Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
8718,2017100544054,10-Sep-17,9/10/2017 8:15,LAX,Los Angeles International Airport,-,Property Damage,Checkpoint,Personal Accessories,-,*Insufficient
8720,2017051839720,11-Apr-17,3/10/2017 8:10,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Baggage/Cases/Purses; Books, Magazines & Other",-,In Review
8722,2017052239828,11-Apr-17,3/25/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checked Baggage,Home Decor,-,In Review
8724,2017091843181,11-Aug-17,7/27/2017 11:39,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Medical/Science,-,In Review
8726,2017081142159,11-Aug-17,8/6/2017 6:30,LAX,Los Angeles International Airport,Allegiant Air,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,-,In Review
8728,2017091843186,11-Aug-17,8/5/2017 14:30,LAX,Los Angeles International Airport,Air France,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
8730,2017091843188,11-Aug-17,8/9/2017 7:15,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Personal Accessories,-,In Review
8732,2017092543515,11-Aug-17,8/2/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,*Insufficient
8734,2018010946710,11-Dec-17,12/10/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Home Decor,-,*Insufficient
8736,2017021537549,11-Jan-17,1/10/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checkpoint,Computer & Accessories,-,Closed: Canceled
8738,2017011136465,11-Jan-17,1/7/2017 0:00,LAX,Los Angeles International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Other,$0.00,Deny
8740,2017021737629,11-Jan-17,1/1/2017 0:00,LAX,Los Angeles International Airport,-,Passenger Property Loss,Checkpoint,Home Decor,$88.00,Approve in Full
8742,2017072641859,11-Jul-17,7/8/2017 19:00,LAX,Los Angeles International Airport,Alaska Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8744,2017072741876,11-Jul-17,6/11/2017 0:00,LAX,Los Angeles International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
8746,2017071141369,11-Jul-17,6/24/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,-,$21.00,Approve in Full
8748,2017072641852,11-Jul-17,6/6/2017 13:30,LAX,Los Angeles International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Travel Accessories,$20.00,Approve in Full
8750,2017061440658,11-May-17,5/7/2017 12:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
8752,2017062941066,11-May-17,4/12/2017 0:00,LAX,Los Angeles International Airport,Emirates,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,In Review
8754,2017062941078,11-May-17,5/1/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Clothing,-,In Review
8756,2017062941085,11-May-17,4/19/2017 0:00,LAX,Los Angeles International Airport,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Other,-,Closed: Canceled
8758,2017051139403,11-May-17,3/4/2017 0:00,LAX,Los Angeles International Airport,British Airways,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,*Insufficient
8760,2017101744405,11-Sep-17,9/9/2017 21:00,LAX,Los Angeles International Airport,Alaska Airlines,Property Damage,Checkpoint,-,-,In Review
8762,2017101144251,11-Sep-17,8/5/2017 8:00,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8764,2017101344368,11-Sep-17,8/8/2017 0:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,-,-,In Review
8766,2017101344365,11-Sep-17,9/10/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Accessories,-,*Insufficient
8768,2017060540189,12-Apr-17,3/21/2017 0:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,"Books, Magazines & Other",$0.00,Deny
8770,2017121245894,12-Dec-17,11/9/2017 5:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,-,-,In Review
8772,2017121846064,12-Dec-17,11/7/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Household Items,-,In Review
8774,2018010946659,12-Dec-17,12/10/2017 9:55,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Cameras,-,In Review
8776,2017121245972,12-Dec-17,12/2/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,-,Closed: Canceled
8778,2017121946075,12-Dec-17,11/28/2017 0:00,LAX,Los Angeles International Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer & Accessories,-,*Insufficient
8780,2018011246767,12-Jan-17,12/25/2017 0:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checkpoint,Cosmetics & Grooming; Currency,-,In Review
8782,2017071141396,12-Jul-17,5/20/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing,-,In Review
8784,2017082142367,12-Jul-17,2/5/2017 0:00,LAX,Los Angeles International Airport,Air New Zealand,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
8786,2017083142582,12-Jul-17,6/23/2017 11:50,LAX,Los Angeles International Airport,Southwest Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
8788,2017072041729,12-Jun-17,5/3/2017 0:00,LAX,Los Angeles International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
8790,2017061540731,12-Jun-17,4/29/2017 11:52,LAX,Los Angeles International Airport,Virgin America,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,Closed: Canceled
8792,2017071241458,12-Jun-17,6/11/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,-,*Insufficient
8794,2017051239457,12-May-17,2/25/2017 0:00,LAX,Los Angeles International Airport,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Cameras; Cosmetics & Grooming,-,*Insufficient
8796,2017100544065,12-Sep-17,8/31/2017 8:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checkpoint,Incidentals,-,In Review
8798,2017100544042,12-Sep-17,8/18/2017 0:00,LAX,Los Angeles International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
8800,2017101844523,12-Sep-17,9/2/2017 0:00,LAX,Los Angeles International Airport,Virgin America,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
