,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
11198,2017070641245,5-Jun-17,5/29/2017 0:00,ORD,Airport,Finnair,Property Damage,Checked Baggage,Home Decor,-,In Review
11201,2017072541838,5-Jun-17,5/8/2017 14:19,ORD,Airport,-,Property Damage,Checkpoint,Clothing,-,In Review
11204,2017072541830,5-Jun-17,5/27/2017 6:00,ORD,Airport,American Airlines,Passenger Property Loss,Checkpoint,-,-,*Insufficient
11207,2017102644696,5-Oct-17,9/20/2017 13:00,ORD,Airport,American Airlines,Property Damage,-,Clothing,-,In Review
11210,2017100544055,5-Sep-17,8/30/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras,-,In Review
11213,2017052639984,6-Apr-17,3/1/2017 9:25,ORD,Airport,Spirit Airlines,Property Damage,Checkpoint,Computer & Accessories,-,*Insufficient
11216,2018010546539,6-Dec-17,1/12/2017 0:00,ORD,Airport,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11219,2017120645752,6-Dec-17,10/4/2017 12:00,ORD,Airport,American Airlines,Property Damage,Checked Baggage,Food & Drink,-,In Review
11222,2018010946699,6-Dec-17,12/2/2017 7:00,ORD,Airport,American Airlines,Property Damage,Checked Baggage,-,-,In Review
11225,2018010446441,6-Dec-17,11/16/2017 0:00,ORD,Airport,American Eagle,Passenger Property Loss,Checked Baggage,-,-,Closed: Canceled
11228,2017071241484,6-Jul-17,6/28/2017 19:45,ORD,Airport,Qatar Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
11231,2017091142870,6-Jul-17,6/18/2017 0:00,ORD,Airport,UAL,Property Damage,Checked Baggage,Other,-,In Review
11234,2017083142614,6-Jul-17,7/5/2017 0:00,ORD,Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,*Insufficient
11237,2017072441784,6-Jun-17,5/20/2017 0:00,ORD,Airport,KLM Royal Dutch Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11240,2017051639582,6-Mar-17,2/5/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Home Decor,-,In Review
11243,2017051839665,7-Apr-17,1/31/2017 0:00,ORD,Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
11246,2017091443066,7-Aug-17,7/29/2017 19:10,ORD,Airport,Qatar airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
11249,2017120745773,7-Dec-17,11/21/2017 0:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,In Review
11252,2017062841041,7-Jun-17,6/6/2017 12:30,ORD,Airport,UAL,Property Damage,Checked Baggage,"Books, Magazines & Other",-,In Review
11255,2017071841674,7-Jun-17,3/27/2017 0:00,ORD,Airport,Turkish Airlines,Passenger Property Loss,Checked Baggage,Cameras,-,In Review
11258,2017071941689,7-Jun-17,3/31/2017 0:00,ORD,Airport,Scandinavian Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
11261,2017072041730,7-Jun-17,5/15/2017 17:30,ORD,Airport,American Airlines,Passenger Property Loss,Checkpoint,Clothing,-,In Review
11264,2017042638939,7-Mar-17,2/22/2017 15:00,ORD,Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,$16.00,Approve in Full
